Time [s],Channel 0,Channel 1
0.420317200,0,0
0.420320680,1,0
0.420321360,1,1
0.420325640,1,0
0.420329160,0,0
0.420336680,1,0
0.420337160,1,1
0.420341720,1,0
0.420344640,0,0
0.420352560,1,0
0.420353360,1,1
0.420356880,1,0
0.420358560,0,0
0.420368560,1,0
0.420369160,1,1
0.420373240,1,0
0.420374600,0,0
0.420384520,1,0
0.420385400,1,1
0.420388400,1,0
0.420390040,0,0
0.420400640,1,0
0.420401560,1,1
0.420403400,1,0
0.420406240,0,0
0.420416520,1,0
0.420417400,1,1
0.420419440,1,0
0.420419480,1,1
0.420419800,1,0
0.420421760,0,0
0.420432640,1,0
0.420433680,1,1
0.420435480,1,0
0.420437840,0,0
0.420448680,1,0
0.420449600,1,1
0.420451280,1,0
0.420453600,0,0
0.420464680,1,0
0.420465440,1,1
0.420467640,1,0
0.420469960,0,0
0.420480600,1,0
0.420481200,1,1
0.420483320,1,0
0.420485800,0,0
0.420496600,1,0
0.420497280,1,1
0.420500640,1,0
0.420501920,0,0
0.420512400,1,0
0.420513440,1,1
0.420515920,1,0
0.420517720,0,0
0.420528360,1,0
0.420529160,1,1
0.420531360,1,0
0.420533520,0,0
0.420544320,1,0
0.420545080,1,1
0.420547400,1,0
0.420549560,0,0
0.420560280,1,0
0.420565120,0,0
0.420576400,1,0
0.420581040,0,0
0.420592400,1,0
0.420592960,1,1
0.420594760,1,0
0.420596680,0,0
0.420608360,1,0
0.420612840,0,0
0.420624480,1,0
0.420628320,0,0
0.420640360,1,0
0.420644760,0,0
0.420656440,1,0
0.420657320,1,1
0.420658400,1,0
0.420660280,0,0
0.420672360,1,0
0.420676800,0,0
0.420688280,1,0
0.420692400,0,0
0.420704240,1,0
0.420708440,0,0
0.420720080,1,0
0.420721120,1,1
0.420722040,1,0
0.420724120,0,0
0.420736120,1,0
0.420736720,1,1
0.420738360,1,0
0.420740440,0,0
0.420752120,1,0
0.420755840,0,0
0.420768000,1,0
0.420772040,0,0
0.420783960,1,0
0.420787720,0,0
0.420800040,1,0
0.420803840,0,0
0.420816080,1,0
0.420819320,0,0
0.420832040,1,0
0.420835600,0,0
0.420848080,1,0
0.420851240,0,0
0.420864040,1,0
0.420867200,0,0
0.420880080,1,0
0.420883400,0,0
0.420896000,1,0
0.420899480,0,0
0.420911920,1,0
0.420915480,0,0
0.420927920,1,0
0.420931280,0,0
0.420943640,1,0
0.420947200,0,0
0.420959920,1,0
0.420963000,0,0
0.420975720,1,0
0.420979280,0,0
0.420991640,1,0
0.420994760,0,0
0.421007600,1,0
0.421011160,0,0
0.421023600,1,0
0.421026360,0,0
0.421039600,1,0
0.421042640,0,0
0.421055760,1,0
0.421058200,0,0
0.421071640,1,0
0.421074320,0,0
0.421087720,1,0
0.421089880,0,0
0.421103680,1,0
0.421106160,0,0
0.421119920,1,0
0.421121800,0,0
0.421135880,1,0
0.421137920,0,0
0.421151960,1,0
0.421153640,0,0
0.421168120,1,0
0.421169480,0,0
0.429761440,1,0
0.429771440,1,1
0.430136520,1,0
0.430136800,0,0
0.430137880,0,1
0.430137920,1,1
0.430342160,1,0
0.430342480,0,0
0.430344560,1,1
0.430393480,1,0
0.430393600,0,0
0.430400880,1,1
0.430404560,1,0
0.430404640,0,0
0.430534480,1,0
0.430542720,1,1
0.430600640,1,0
0.430600840,0,0
0.430608160,1,1
0.430611640,1,0
0.430611720,0,0
0.430725080,1,0
0.430732120,1,1
0.430807280,1,0
0.430807440,0,0
0.430814800,1,1
0.430818280,1,0
0.430818360,0,0
0.430955640,1,0
0.430959880,1,1
0.431013840,1,0
0.431014000,0,0
0.431021400,1,1
0.431024800,1,0
0.431024880,0,0
0.431171160,1,0
0.431171280,1,1
0.431376760,1,0
